카드명,카드구분,y_score,x_score
iM 스카이패스 카드 V2 Silver,신용카드,0.0,4
iM 스카이패스 카드 V2 Gold,신용카드,0.0,2
iM i 카드,신용카드,6.931471805599453,0
iM 세븐캐쉬백카드,신용카드,10.986122886681095,0
부자되세요 홈쇼핑카드,신용카드,13.862943611198906,0
iM UntacT 카드,신용카드,0.0,0
iM Pet Love 카드,신용카드,6.931471805599453,0
iM 올레 Super DC 카드,신용카드,13.862943611198906,0
그린카드 v2,신용카드,10.986122886681095,0
대백-iM뱅크 카드(블랙),신용카드,0.0,0
그린카드(전국형),신용카드,0.0,0
GREiT(그래잇)카드,신용카드,17.91759469228055,2
국민행복카드 신용카드,신용카드,0.0,0
부자되세요 아파트카드,신용카드,0.0,0
단디[DANDI]카드,신용카드,0.0,0
iM 쇼핑카드,신용카드,0.0,0
대백-iM뱅크카드(퍼플),신용카드,0.0,0
후불 하이패스카드(개인),신용카드,0.0,0
iM 어디로든 그린카드,신용카드,0.0,0
iM ONE 카드,체크카드,0.0,0
NEW현대백화점체크카드,체크카드,76.01402334583733,0
iM A 체크카드(댕댕댕),체크카드,0.0,0
iM A 체크카드(댕크라이),체크카드,0.0,0
iM A 체크카드(댕라이프),체크카드,0.0,0
똑디체크카드(비교통),체크카드,0.0,2
대백 플러스 체크카드(대경교통),체크카드,10.986122886681095,2
Master Y+(영플러스) 체크카드,체크카드,10.986122886681095,0
iM Z 체크카드(비교통),체크카드,10.986122886681095,2
카카오페이 체크카드,체크카드,10.986122886681095,0
Y+ (영플러스) 체크카드(대경교통),체크카드,10.986122886681095,-1
iM 해피포인트 체크카드(대경교통),체크카드,10.986122886681095,0
단디체크카드,체크카드,10.986122886681095,-1
iM 해피포인트 체크카드,체크카드,10.986122886681095,0
대백 플러스 체크카드(비교통),체크카드,10.986122886681095,2
국민행복카드 체크카드,체크카드,6.931471805599453,0
현대백화점 체크카드,체크카드,0.0,2
Y+(영플러스)체크카드,체크카드,10.986122886681095,-1
