카드명,카드구분,연회비(정수),y_score,x_score
iM 스카이패스 카드 V2 Silver,신용카드,19,29.957322735539908,-10
iM 스카이패스 카드 V2 Gold,신용카드,0,15.0,-10
iM i 카드,신용카드,1,6.931471805599453,0
iM 세븐캐쉬백카드,신용카드,2,10.986122886681095,0
부자되세요 홈쇼핑카드,신용카드,8,21.97224577336219,0
iM UntacT 카드,신용카드,10,23.978952727983707,0
iM Pet Love 카드,신용카드,5,17.91759469228055,0
iM 올레 Super DC 카드,신용카드,8,21.97224577336219,0
그린카드 v2,신용카드,2,10.986122886681095,-20
대백-iM뱅크 카드(블랙),신용카드,5,17.91759469228055,10
그린카드(전국형),신용카드,0,0.0,0
GREiT(그래잇)카드,신용카드,5,17.91759469228055,-10
국민행복카드 신용카드,신용카드,0,0.0,-10
부자되세요 아파트카드,신용카드,15,27.725887222397812,0
단디[DANDI]카드,신용카드,12,25.649493574615366,0
iM 쇼핑카드,신용카드,0,0.0,0
대백-iM뱅크카드(퍼플),신용카드,5,32.917594692280545,0
후불 하이패스카드(개인),신용카드,2,10.986122886681095,0
iM 어디로든 그린카드,신용카드,15,27.725887222397812,-20
iM ONE 카드,체크카드,0,0.0,0
NEW현대백화점체크카드,체크카드,2000,76.01402334583733,10
iM A 체크카드(댕댕댕),체크카드,0,15.0,0
iM A 체크카드(댕크라이),체크카드,2,25.986122886681095,10
iM A 체크카드(댕라이프),체크카드,2,25.986122886681095,10
똑디체크카드(비교통),체크카드,2,10.986122886681095,0
대백 플러스 체크카드(대경교통),체크카드,2,25.986122886681095,-50
Master Y+(영플러스) 체크카드,체크카드,2,10.986122886681095,-30
iM Z 체크카드(비교통),체크카드,2,10.986122886681095,-10
카카오페이 체크카드,체크카드,2,10.986122886681095,-30
Y+ (영플러스) 체크카드(대경교통),체크카드,2,10.986122886681095,-20
iM 해피포인트 체크카드(대경교통),체크카드,2,10.986122886681095,-20
단디체크카드,체크카드,2,10.986122886681095,10
iM 해피포인트 체크카드,체크카드,2,10.986122886681095,-20
대백 플러스 체크카드(비교통),체크카드,2,25.986122886681095,-50
국민행복카드 체크카드,체크카드,1,6.931471805599453,-10
현대백화점 체크카드,체크카드,0,0.0,-30
Y+(영플러스)체크카드,체크카드,2,10.986122886681095,-30
